symbol,target_weight
EQIX,0.09999998548062733
CHRW,0.09999998123178859
EOG,0.09999997854750628
PSKY,0.09999996497089896
EXPD,0.09999990991269525
NSC,0.0999997097982564
WMB,0.099999689305945
VST,0.08673827145396795
UNP,0.08140037311500768
CRL,0.06713133657040982
TRGP,0.05333589606885956
ODFL,0.01137873591458898
DVN,1.1378033066955305e-05
JBHT,2.569640376732104e-06
OKE,1.1776411742341123e-06
APA,4.83486664460586e-07
FANG,4.3850155446223736e-07
TPL,1.0563989805340404e-07
COHR,1.1339290545645667e-08
SNDK,3.347422641878103e-09
